PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
13,03;0,96;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
13,75;4,12;5;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2
16,11;1,42;7;6;7;5;6;5;5;7;0;0;0;0;0;0;0;0;0;1
13,70;2,31;6;2;1;0;0;0;0;0;1;7;0;0;0;0;0;0;0;2
13,95;2,95;7;7;6;6;7;3;3;0;6;5;0;3;2;0;1;0;0;1
14,97;1,13;7;6;7;6;6;5;5;1;6;0;0;0;1;1;2;0;0;1
11,50;2,95;3;1;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;1
14,87;1,64;6;5;2;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2
11,58;3,84;3;0;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;2
12,87;2,62;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
12,68;2,92;5;2;1;0;0;0;0;0;2;5;0;0;0;0;0;0;0;1
13,41;5,23;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
5,99;2,87;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
13,71;4,56;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
11,70;1,25;7;4;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;2
2,95;2,41;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
15,42;1,72;7;7;5;5;7;4;0;0;0;2;2;1;0;1;0;0;0;1
13,68;1,82;5;4;2;0;0;0;0;0;3;3;3;0;0;0;0;0;0;2
15,24;1,53;7;6;7;6;6;5;5;3;0;0;2;0;1;3;0;0;0;1
14,85;1,31;8;4;6;6;6;5;0;0;2;2;4;1;0;0;0;0;0;1
14,15;2,89;7;2;4;6;6;1;0;0;5;2;0;2;1;0;0;0;0;1
15,35;1,86;6;6;7;9;6;5;5;7;3;1;4;0;0;0;1;0;0;1
15,77;1,25;7;6;7;5;6;5;5;6;0;0;0;0;0;0;0;1;0;1
9,76;4,93;4;1;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;2
17,26;0,81;5;5;6;6;6;5;0;0;0;0;0;0;0;0;0;0;0;1
15,10;2,23;5;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
14,55;1,87;5;4;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;2
14,98;1,49;7;5;3;1;0;0;0;0;0;2;1;0;0;0;0;0;0;2
8,57;4,29;2;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
15,77;1,40;6;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
15,23;1,51;5;4;5;2;0;0;0;0;1;1;3;1;0;0;0;0;0;1
10,95;6,27;6;6;0;0;0;0;0;0;3;4;4;1;0;0;0;0;0;2
16,07;1,67;8;4;7;9;6;5;8;5;0;0;1;0;0;0;0;0;2;1
14,84;1,83;8;4;6;5;7;1;1;0;0;3;1;3;1;0;0;0;0;1
7,88;1,52;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;2
15,06;1,06;5;5;6;6;6;5;0;0;0;1;0;0;0;0;0;0;0;1
15,47;1,99;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
14,28;3,29;6;3;3;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1
14,58;2,17;7;6;5;4;4;1;0;0;3;5;0;1;0;0;0;0;0;2
